Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
4217.000,0.00012793
4220.000,0.00012793
4224.000,0.00012788
4227.000,0.00012783
4232.000,0.00012779
4235.000,0.00012782
4238.000,0.00012778
4241.000,0.00012772
4245.000,0.00012772
4248.000,0.00012774
4251.000,0.00012783
4256.000,0.00012784
4259.000,0.00012786
4263.000,0.00012787
4266.000,0.00012796
4269.000,0.00012797
4273.000,0.00012798
4276.000,0.0001279
4302.000,0.00012786
4305.000,0.00012783
4309.000,0.00012782
4312.000,0.00012782
4315.000,0.00012788
4320.000,0.00012795
4323.000,0.00012794
4327.000,0.00012791
4355.000,0.00012785
4358.000,0.00012771
4361.000,0.00012771
4365.000,0.00012773
4368.000,0.00012776
4371.000,0.00012781
4378.000,0.0001278
4405.000,0.00012756
4408.000,0.00012758
4412.000,0.00012756
4416.000,0.00012762
4419.000,0.00012762
4422.000,0.00012769
4425.000,0.00012772
4453.000,0.00012774
4456.000,0.00012758
4459.000,0.00012757
4462.000,0.00012755
4466.000,0.00012758
4469.000,0.00012762
4473.000,0.00012764
4476.000,0.00012767
4501.000,0.00012769
4505.000,0.00012768
4508.000,0.00012765
4511.000,0.00012764
4515.000,0.00012763
4518.000,0.00012767
4522.000,0.00012767
4525.000,0.00012773
4532.000,0.00012773
4536.000,0.00012782
4540.000,0.00012783
4543.000,0.00012779
4547.000,0.00012778
4550.000,0.00012779
4554.000,0.00012777
4557.000,0.00012773
4560.000,0.00012769
4564.000,0.00012768
4567.000,0.00012769
4570.000,0.00012774
4574.000,0.00012777
4577.000,0.00012779
4603.000,0.00012782
4607.000,0.00012796
4610.000,0.00012788
4614.000,0.00012786
4618.000,0.00012787
4622.000,0.0001279
4625.000,0.00012796
4653.000,0.00012807
4657.000,0.00012806
4660.000,0.00012802
4663.000,0.00012795
4667.000,0.00012791
4670.000,0.00012792
4674.000,0.00012792
4677.000,0.00012794
4702.000,0.00012804
4705.000,0.00012798
4709.000,0.00012797
4722.000,0.00012779
4726.000,0.00012779
4753.000,0.00012779
4757.000,0.00012789
4761.000,0.00012782
4764.000,0.0001278
4768.000,0.00012779
4772.000,0.0001277
4775.000,0.00012767
4801.000,0.00012765
4804.000,0.00012778
4808.000,0.0001278
4812.000,0.00012776
4815.000,0.00012772
4819.000,0.00012771
4823.000,0.00012763
4826.000,0.0001276
4830.000,0.00012755
4834.000,0.00012752
4838.000,0.00012758
4841.000,0.00012754
4845.000,0.00012755
4853.000,0.00012761
4860.000,0.00012767
4863.000,0.00012767
4867.000,0.00012764
4872.000,0.0001276
4903.000,0.00012747
4910.000,0.00012755
4913.000,0.00012758
4917.000,0.00012755
4920.000,0.00012755
4925.000,0.00012756
4953.000,0.00012752
4959.000,0.00012762
4963.000,0.0001277
4966.000,0.00012767
4969.000,0.00012767
4973.000,0.00012765
4976.000,0.00012764
5002.000,0.00012764
5006.000,0.00012765
5011.000,0.00012775
5016.000,0.00012779
5020.000,0.00012782
5023.000,0.00012779
5051.000,0.00012782
5054.000,0.00012772
5057.000,0.00012773
5060.000,0.00012776
5063.000,0.00012782
5067.000,0.00012788
5071.000,0.00012789
5077.000,0.00012789
5103.000,0.00012782
5106.000,0.00012782
5109.000,0.0001278
5113.000,0.00012782
5116.000,0.00012789
5119.000,0.00012795
5123.000,0.00012795
5132.000,0.00012794
5137.000,0.00012798
5140.000,0.00012793
5143.000,0.00012788
5147.000,0.00012784
5150.000,0.00012783
5153.000,0.00012786
5156.000,0.00012783
5160.000,0.00012779
5165.000,0.00012779
5169.000,0.0001278
5173.000,0.00012789
5176.000,0.00012789
5206.000,0.00012789
5210.000,0.00012771
5213.000,0.00012769
5217.000,0.00012771
5220.000,0.00012776
5223.000,0.00012777
5226.000,0.00012777
5251.000,0.00012777
5255.000,0.00012759
5258.000,0.00012756
5261.000,0.00012752
5264.000,0.00012748
5268.000,0.00012749
5271.000,0.0001275
5274.000,0.00012753
5301.000,0.00012757
5304.000,0.0001275
5307.000,0.00012748
5311.000,0.00012744
5315.000,0.00012745
5318.000,0.00012743
5321.000,0.00012743
5324.000,0.00012743
5327.000,0.00012744
5357.000,0.00012745
5361.000,0.00012737
5364.000,0.00012734
5368.000,0.00012734
5372.000,0.00012734
5376.000,0.00012733
5401.000,0.00012736
5404.000,0.00012759
5408.000,0.00012754
5411.000,0.00012749
5414.000,0.00012746
5420.000,0.00012744
5424.000,0.00012744
5430.000,0.00012741
5434.000,0.00012751
5437.000,0.00012761
5441.000,0.00012766
5444.000,0.00012772
5447.000,0.00012773
5450.000,0.00012774
5453.000,0.00012777
5458.000,0.00012774
5461.000,0.0001277
5464.000,0.00012766
5468.000,0.00012763
5471.000,0.00012762
5474.000,0.00012762
5478.000,0.00012758
5504.000,0.00012793
5508.000,0.00012791
5511.000,0.00012788
5515.000,0.00012785
5518.000,0.00012782
5523.000,0.00012778
5526.000,0.00012777
5554.000,0.00012775
5558.000,0.00012802
5561.000,0.00012798
5565.000,0.00012795
5568.000,0.00012794
5571.000,0.00012789
5575.000,0.00012786
5600.000,0.00012782
5603.000,0.00012791
5607.000,0.00012796
5611.000,0.00012796
5615.000,0.00012794
5618.000,0.00012786
5621.000,0.00012785
5627.000,0.00012777
5652.000,0.00012767
5655.000,0.00012774
5659.000,0.00012774
5662.000,0.00012771
5665.000,0.0001277
5668.000,0.00012768
5675.000,0.00012769
5701.000,0.00012757
5704.000,0.0001275
5707.000,0.00012754
5710.000,0.00012757
5713.000,0.00012753
5717.000,0.00012756
5720.000,0.00012757
5724.000,0.00012755
5728.000,0.00012753
5734.000,0.00012742
5738.000,0.00012741
5741.000,0.00012741
5745.000,0.00012738
5748.000,0.00012735
5753.000,0.00012737
5756.000,0.0001274
5759.000,0.00012747
5763.000,0.00012747
5769.000,0.00012745
5772.000,0.00012746
5775.000,0.00012751
5803.000,0.00012748
5808.000,0.00012728
5811.000,0.00012735
5815.000,0.00012737
5818.000,0.0001274
5822.000,0.00012742
5825.000,0.00012746
5850.000,0.00012745
5854.000,0.00012732
5858.000,0.00012735
5861.000,0.00012738
5864.000,0.00012745
5868.000,0.00012746
5871.000,0.00012749
5874.000,0.00012753
5900.000,0.00012755
5903.000,0.00012748
5906.000,0.00012744
5911.000,0.00012748
5914.000,0.00012752
5918.000,0.00012758
5959.000,0.00012759
5962.000,0.00012758
5965.000,0.00012763
5969.000,0.00012767
5973.000,0.00012769
5976.000,0.0001277
6001.000,0.00012775
6004.000,0.00012774
6008.000,0.00012772
6011.000,0.0001277
6015.000,0.00012768
6018.000,0.00012768
6021.000,0.00012776
6025.000,0.00012779
6028.000,0.00012778
6033.000,0.00012779
6036.000,0.00012784
6039.000,0.00012787
6043.000,0.00012788
6046.000,0.00012784
6050.000,0.00012784
6053.000,0.00012782
6056.000,0.00012783
6059.000,0.00012779
6062.000,0.00012775
6065.000,0.00012771
6069.000,0.0001277
6072.000,0.00012774
6075.000,0.00012779
6101.000,0.00012779
6105.000,0.00012785
6108.000,0.00012784
6112.000,0.0001278
6115.000,0.00012777
6118.000,0.00012774
6121.000,0.00012771
6125.000,0.0001277
6152.000,0.00012769
6156.000,0.00012772
6160.000,0.00012768
6163.000,0.00012766
6166.000,0.00012764
6170.000,0.00012759
6173.000,0.00012752
6176.000,0.00012752
6201.000,0.0001275
6205.000,0.00012767
6208.000,0.00012762
6215.000,0.00012759
6218.000,0.00012756
6221.000,0.00012752
6224.000,0.00012743
6249.000,0.00012743
6253.000,0.00012755
6256.000,0.00012757
6260.000,0.00012753
6263.000,0.00012751
6266.000,0.00012747
6270.000,0.00012746
6273.000,0.00012739
6277.000,0.00012732
6304.000,0.00012731
6308.000,0.00012754
6311.000,0.00012751
6314.000,0.00012753
6318.000,0.00012753
6321.000,0.00012753
6324.000,0.00012747
6331.000,0.00012744
6335.000,0.00012744
6338.000,0.00012744
6341.000,0.00012749
6345.000,0.00012748
6349.000,0.00012754
6352.000,0.0001276
6356.000,0.00012761
6359.000,0.00012765
6362.000,0.00012764
6366.000,0.00012769
6369.000,0.00012766
6372.000,0.00012765
